Time,secs	AreaA,cm2	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused
420.110000	217.186742	9.376264	-595.823653	-595.823653	6.077915	45.475000	0.000000		161.020576	NaN
420.610000	217.246829	9.378859	-595.823653	-595.823653	6.115549	45.475000	0.000000		161.020576	NaN
421.110000	217.246829	9.378859	-595.823653	-595.823653	6.124957	45.475000	0.000000		161.029456	NaN
421.610000	217.246829	9.378859	-595.823653	-595.823653	6.101436	45.475000	0.000000		161.029456	NaN
422.110000	217.246829	9.378859	-595.823653	-595.823653	6.115549	45.475000	0.000000		161.029456	NaN
422.610000	216.946392	9.365888	-595.823653	-595.823653	6.120253	45.475000	0.000000		161.029456	NaN
423.110000	216.946392	9.365888	-595.823653	-595.823653	6.162591	45.475000	0.000000		161.029456	NaN
423.610000	216.946392	9.365888	-595.823653	-595.823653	6.1437740000000005	45.475000	0.000000		161.038337	NaN
424.110000	216.886304	9.363294	-595.823653	-595.823653	6.1578870000000006	45.475000	0.000000		161.038337	NaN
424.610000	216.886304	9.363294	-595.823653	-595.823653	6.167296	45.475000	0.000000		161.038337	NaN
425.110000	216.946392	9.365888	-595.823653	-595.823653	6.162591	45.475000	0.000000		161.029456	NaN
425.610000	216.886304	9.363294	-595.823653	-595.823653	6.195520999999999	45.475000	0.000000		161.038337	NaN
426.110000	216.525779	9.347730	-595.823653	-595.823653	6.186113000000001	45.475000	0.000000		161.038337	NaN
426.610000	216.585867	9.350324	-595.823653	-595.823653	6.200226000000001	45.475000	0.000000		161.038337	NaN
427.110000	216.585867	9.350324	-595.823653	-595.823653	6.190817	45.475000	0.000000		161.038337	NaN
427.610000	216.585867	9.350324	-595.823653	-595.823653	6.195520999999999	45.475000	0.000000		161.029456	NaN
428.110000	216.585867	9.350324	-595.823653	-595.823653	6.200226000000001	45.475000	0.000000		161.038337	NaN
428.610000	216.585867	9.350324	-595.823653	-595.823653	6.219043	45.475000	0.000000		161.047217	NaN
429.110000	216.585867	9.350324	-595.823653	-595.823653	6.2378599999999995	45.475000	0.000000		161.047217	NaN
429.610000	216.345517	9.339948	-595.823653	-595.823653	6.2237469999999995	45.475000	0.000000		161.038337	NaN
430.110000	216.225342	9.334759	-595.823653	-595.823653	6.219043	45.475000	0.000000		161.038337	NaN
430.610000	216.285429	9.337354	-595.823653	-595.823653	6.261381	45.475000	0.000000		161.047217	NaN
431.110000	216.285429	9.337354	-595.823653	-595.823653	6.266085	45.475000	0.000000		161.047217	NaN
431.610000	216.285429	9.337354	-595.823653	-595.823653	6.280198	45.475000	0.000000		161.047217	NaN
432.110000	216.285429	9.337354	-595.823653	-595.823653	6.289607	45.475000	0.000000		161.047217	NaN
