Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
69.090000	35.326285	1.525087	1278.021843	1278.021843	0.607831	-62.430874	0.000000		83.895820	Inf
69.590000	35.498014	1.532500	1278.021843	1278.021843	0.573098	-62.384128	0.000000		83.904700	Inf
70.090000	35.626811	1.538061	1278.021843	1278.021843	0.295232	-62.430874	0.000000		83.949101	Inf
70.590000	35.755607	1.543621	1278.325681	1278.325681	0.195374	-62.375629	0.000000		83.966862	Inf
71.090000	35.755607	1.543621	1277.869924	1277.869924	0.221424	-62.396877	0.000000		84.020143	Inf
71.590000	35.841472	1.547328	1277.945883	1277.945883	0.299574	-62.430874	0.000000		84.029023	Inf
72.090000	35.970269	1.552888	1278.021843	1278.021843	0.499290	-62.396877	0.000000		84.064544	Inf
72.590000	36.141998	1.560302	1278.325681	1278.325681	0.390748	-62.375629	0.000000		84.091185	Inf
73.090000	36.141998	1.560302	1277.945883	1277.945883	0.312599	-62.430874	0.000000		84.126706	Inf
73.590000	36.356659	1.569569	1277.945883	1277.945883	0.364698	-62.379878	0.000000		84.171107	Inf
74.090000	36.485456	1.575130	1278.021843	1278.021843	0.316940	-62.435123	0.000000		84.188867	Inf
74.590000	36.528388	1.576983	1278.097802	1278.097802	0.590464	-62.375629	0.000000		84.197747	Inf
75.090000	36.700117	1.584397	1277.945883	1277.945883	0.603489	-62.379878	0.000000		84.242149	Inf
75.590000	36.957710	1.595518	1277.869924	1277.869924	0.325624	-62.430874	0.000000		84.277669	Inf
76.090000	36.828914	1.589957	1278.021843	1278.021843	0.273524	-62.379878	0.000000		84.286550	Inf
76.590000	37.000643	1.597371	1278.021843	1278.021843	0.277865	-62.379878	0.000000		84.339831	Inf
77.090000	37.129439	1.602931	1278.173762	1278.173762	0.273524	-62.375629	0.000000		84.357592	Inf
77.590000	37.215304	1.606638	1278.249721	1278.249721	0.351674	-62.384128	0.000000		84.375352	Inf
78.090000	37.301168	1.610345	1278.325681	1278.325681	0.286549	-62.379878	0.000000		84.428633	Inf
78.590000	37.387033	1.614052	1278.249721	1278.249721	0.408115	-62.384128	0.000000		84.455274	Inf
79.090000	37.429965	1.615906	1278.097802	1278.097802	0.477581	-62.384128	0.000000		84.473034	Inf
79.590000	37.601694	1.623319	1277.945883	1277.945883	0.316940	-62.396877	0.000000		84.526316	Inf
80.090000	37.687558	1.627026	1277.793964	1277.793964	0.269182	-62.396877	0.000000		84.535196	Inf
80.590000	37.859287	1.634440	1278.173762	1278.173762	0.290890	-62.392627	0.000000		84.588477	Inf
81.090000	38.073949	1.643707	1278.325681	1278.325681	0.659931	-62.375629	0.000000		84.615118	Inf
81.590000	37.945152	1.638147	1277.869924	1277.869924	1.050679	-62.430874	0.000000		84.641759	Inf
82.090000	38.159813	1.647414	1278.021843	1278.021843	0.768472	-62.401126	0.000000		84.659519	Inf
82.590000	38.245678	1.651121	1278.097802	1278.097802	0.568756	-62.375629	0.000000		84.703920	Inf
83.090000	38.374474	1.656681	1277.869924	1277.869924	0.490606	-62.392627	0.000000		84.721681	Inf
83.590000	38.417407	1.658535	1278.173762	1278.173762	0.421140	-62.375629	0.000000		84.757202	Inf
84.090000	38.632068	1.667802	1278.097802	1278.097802	0.390748	-62.430874	0.000000		84.792723	Inf
84.590000	38.675000	1.669655	1278.325681	1278.325681	0.408115	-62.384128	0.000000		84.810483	Inf
85.090000	38.803797	1.675216	1277.945883	1277.945883	0.299574	-62.392627	0.000000		84.837124	Inf
85.590000	38.975526	1.682630	1277.793964	1277.793964	0.329965	-62.384128	0.000000		84.872645	Inf
